belief,major,boyGirl,atoms,earth,church,age,words,educ,status,income
theist,STEM,corr,corr,corr,rarely,34,8,16,59.1,116705
theist,none,corr,corr,incDK,rarely,71,6,15,23.8,31076
theist,none,corr,incDK,corr,often,32,7,14,38.8,34517
theist,none,incDK,incDK,incDK,rarely,59,5,12,28.4,7711
theist,none,incDK,corr,corr,often,65,8,12,23.3,21328
theist,none,incDK,corr,corr,rarely,30,5,12,28.7,977
theist,other,corr,incDK,corr,rarely,66,6,16,76.3,24289
theist,none,incDK,incDK,incDK,rarely,84,5,12,56.9,15560.5
unsure,none,corr,corr,corr,rarely,67,2,8,58.2,17118.5
theist,none,incDK,incDK,corr,rarely,70,5,10,34.7,20302.5
athiest,none,corr,corr,corr,rarely,43,7,13,32,23334
theist,none,corr,incDK,corr,rarely,30,7,13,13.6,22917
unsure,other,corr,incDK,corr,rarely,54,9,18,88.3,45428
theist,other,corr,incDK,corr,rarely,71,8,19,84,129649
athiest,none,corr,corr,corr,rarely,37,8,15,74.8,46602
theist,none,incDK,incDK,corr,rarely,22,3,12,25.7,31553
theist,other,incDK,incDK,corr,often,52,5,16,81.9,148267
athiest,none,incDK,incDK,corr,rarely,54,5,12,26.8,22129
unsure,other,corr,corr,corr,rarely,49,9,16,69.3,56068
unsure,other,corr,corr,corr,rarely,29,8,16,50.4,47135
theist,none,incDK,corr,corr,rarely,71,5,12,29.9,34958
theist,none,corr,incDK,corr,rarely,23,6,14,39.7,26249
theist,other,corr,corr,corr,rarely,61,9,18,63.7,30823
theist,none,corr,corr,incDK,rarely,36,6,12,53.2,17046
theist,other,incDK,incDK,corr,rarely,30,6,16,75.6,61184
theist,other,corr,corr,corr,rarely,57,6,18,80.9,31605
unsure,none,corr,corr,corr,rarely,53,8,13,28.4,40553
unsure,none,incDK,incDK,incDK,rarely,77,8,11,21.5,73404
theist,none,corr,corr,corr,rarely,45,5,12,37.2,16969.5
theist,STEM,corr,corr,corr,rarely,55,8,18,79.4,57461
theist,other,corr,corr,corr,often,51,7,18,78.3,9545
theist,none,corr,incDK,incDK,often,70,6,14,62.1,78205
theist,none,incDK,corr,incDK,rarely,27,4,13,12.6,10787
theist,none,incDK,incDK,corr,often,80,7,10,17.1,75339
unsure,none,corr,incDK,corr,rarely,33,5,13,67.7,28746
theist,none,incDK,incDK,incDK,rarely,89,5,8,20.7,18212.5
theist,none,incDK,incDK,incDK,rarely,77,4,12,58.4,64342
theist,none,incDK,corr,incDK,rarely,60,8,13,64.4,31569
theist,none,corr,incDK,incDK,rarely,29,7,15,41.1,24722
theist,other,corr,incDK,corr,rarely,43,7,18,74.8,16159.5
theist,other,corr,incDK,corr,rarely,59,7,19,91.1,77935
theist,none,incDK,incDK,corr,rarely,62,6,12,20.9,73607
theist,none,incDK,corr,corr,often,36,7,14,36.4,22442
unsure,none,incDK,corr,corr,rarely,34,10,0,70.5,82374
theist,STEM,corr,corr,corr,rarely,66,8,16,84.2,64252
theist,other,corr,incDK,corr,rarely,70,6,17,80.9,28682
unsure,other,incDK,corr,corr,rarely,36,8,20,91.1,64363
theist,none,incDK,incDK,corr,often,63,6,12,43,12312.5
theist,none,incDK,incDK,incDK,often,40,4,7,25.2,28929
theist,none,corr,corr,corr,rarely,24,6,14,45.4,17087
unsure,none,corr,corr,corr,rarely,49,9,15,78.3,31858
unsure,STEM,corr,corr,corr,rarely,37,7,16,87.9,65614
theist,other,corr,corr,incDK,rarely,59,6,16,61.4,79469
theist,none,corr,corr,corr,rarely,25,5,14,33.4,19788
athiest,other,incDK,incDK,corr,rarely,46,5,16,57.8,73430
athiest,none,corr,corr,corr,rarely,19,8,12,23.3,11406.5
theist,none,incDK,corr,corr,rarely,33,6,10,18.6,61361
athiest,other,corr,corr,corr,rarely,24,7,16,55.1,8643.5
unsure,STEM,corr,corr,corr,often,77,8,16,60.5,29832
unsure,none,corr,corr,corr,rarely,26,6,15,64.9,19769
theist,none,corr,incDK,corr,often,32,7,14,18.6,26038
theist,STEM,corr,corr,corr,rarely,33,8,16,36.9,32740
theist,none,incDK,corr,corr,often,19,6,13,17,117734
theist,STEM,corr,corr,corr,rarely,31,7,15,84.2,20181
theist,none,incDK,corr,corr,rarely,62,4,12,53.2,64255
athiest,none,corr,incDK,incDK,rarely,57,8,12,84.5,45502
theist,other,corr,incDK,corr,rarely,43,6,16,63.7,57358
theist,other,incDK,incDK,corr,rarely,73,5,14,41.8,40091
unsure,STEM,corr,corr,corr,rarely,29,10,16,87.9,48505
theist,none,corr,incDK,corr,rarely,68,10,12,25.7,24813
theist,none,corr,corr,incDK,rarely,58,7,12,14.8,17867.5
theist,other,corr,corr,corr,often,34,7,18,38.8,95659
theist,none,corr,corr,incDK,rarely,24,3,12,37.2,35280
theist,other,corr,incDK,incDK,often,52,5,16,57.8,34456
athiest,other,corr,incDK,corr,rarely,32,6,16,77,143688
unsure,none,incDK,corr,corr,rarely,43,7,14,56.9,81929
theist,other,corr,corr,corr,rarely,45,8,16,62.9,69261
theist,none,corr,incDK,corr,rarely,64,6,12,62.9,19090
theist,none,incDK,incDK,corr,often,59,6,14,34.7,25593
unsure,other,corr,corr,corr,often,58,7,16,67.7,65794
theist,none,incDK,corr,corr,rarely,22,5,12,61.2,22970
unsure,none,incDK,incDK,corr,rarely,30,3,12,39.2,27121
unsure,STEM,corr,corr,incDK,rarely,65,8,18,83.4,113161
